,text,review_cleaned_lemmatized,rating
1323,"Great for keeping around the house and doing basic Internet functions. For traveling it lets you bring books, movies and/or tv shows via Amazon so being Amazon Prime is a plus.For you business travelers, out of the box it can open, view, & edit MS Office files, .docx, .xlsx, & .pptx.All this for 25% the price of a iPad. Yes, the iPad can do more, but do you need it?",great keep around house basic internet function travel let bring book movie andor tv show via amazon amazon prime plusfor business traveler box open view edit m office file docx xlsx pptxall 25 price ipad yes ipad need,5.0
23409,"My only regret is not purchasing Amazon Echo sooner. She keeps me up to date with weather, significant events for the day, can sing happy birthday and plays my favorite music. No more plugging in cords from phone to speakers and blah blah blah...I couldn't be more satisfied. Thank you Alexa!",regret purchasing amazon echo sooner keep date weather significant event day sing happy birthday play favorite music plug cord phone speaker blah blah blahi couldnt satisfied thank alexa,5.0
20225,"This is so perfect for reading. If you only want it for reading, then I would most definitely get this. I can read for hours on it, in light and in the dark. It's super easy to buy books and download books. Favorite Christmas purchase!",perfect reading want reading would definitely get read hour light dark super easy buy book download book favorite christmas purchase,5.0
885,"Purchased this a couple of weeks ago, no complaints so far. Web pages load pretty quickly on the Silk browser, and the battery life is excellent. After installing Google Play Store (it's really easy!) even more apps are available. Can't beat this for under a hundred dollars!!!",purchase couple week ago complaint far web page load pretty quickly silk browser battery life excellent instal google play store really easy even apps available cant beat hundred dollar,5.0
26821,Fun gadget that has more uses than I realized. A++,fun gadget us realize,5.0
11700,Easy to navigate. There's not anything new we don't like about it.,easy navigate there anything new dont like,5.0
4138,"I bought this for my husband to replace his original Kindle. The lighted background and light weight makes it perfect for reading in bed. The added features of Internet and numerous apps make it perfect for so many uses. It is easy to manage and the grandkids also love using it for the games. It has a great camera, too! Overall very pleased.",bought husband replace original kindle light background light weight make perfect reading bed add feature internet numerous apps make perfect many us easy manage grandkids also love use game great camera overall pleased,5.0
32162,Unbelievable quality for a great price. Easy to set up and awesome customer support.,unbelievable quality great price easy set awesome customer support,5.0
6017,I've had two other tablet before this one and gave both of them away due to shoddy performance. Finally decided to try the Amazon Fire after recommended by a friend and so far I love it!,ive two tablet one give away due shoddy performance finally decide try amazon fire recommend friend far love,5.0
26816,"I use this item everyday. It can be for the time, play music on Spotify, weather, anything. I have the Echo and the Echo dot.",use item everyday time play music spotify weather anything echo echo dot,5.0
26270,One of those things that you never realize you needed until you actually get it. I can't imagine not having this thing now! Definitely recommended,one thing never realize need actually get cant imagine thing definitely recommend,5.0
820,im always using my amazon tablet...perfect for games!!!,im always use amazon tabletperfect game,5.0
471,The Fire HD8 strikes an excellent balance between performance and price. It has many of the features you'd want in a tablet for a fraction of the cost. Works flawlessly for reading and video streaming.,fire hd8 strike excellent balance performance price many feature youd want tablet fraction cost work flawlessly reading video stream,5.0
28315,I really enjoy today's electronic gadgets and this is a really nice addition to my collection.,really enjoy today electronic gadget really nice addition collection,5.0
3958,Son loves this tablet kid friendly tons of games very pleased,son love tablet kid friendly ton game pleased,5.0
20829,This e-reader fits very nicely into my library of other electronic devices. It works great.,ereader fit nicely library electronic device work great,5.0
18684,Bought his for the lady because she kept getting distracted when trying to read things on the iPad. Plus the lighting on the iPad is a bit harsh when reading at night. This was the perfect answer to both of those things.,bought lady kept get distract try read thing ipad plus light ipad bit harsh reading night perfect answer thing,5.0
18612,This was just the right size for travel and there is no glare. I especially like the dictionary feature.,right size travel glare especially like dictionary feature,5.0
24063,So far I really am enjoying this. I can ask it to play any music and so many other things. I'm still learning. Bought it to listen to music in the garage. I'm not disappointed. Have a radio out there but it's hard to get a station in,far really enjoy ask play music many thing im still learn bought listen music garage im disappointed radio hard get station,5.0
31080,l love my fire tv. liked it somuch i purchased a firestick formy other tv. i use them every day!,l love fire tv like somuch purchase firestick formy tv use every day,5.0
21876,"I still haven't used the camera, once I figure it out I will use it. I love the features on it. I use it for facebook mostly & emails. I also play some of the games on facebook.",still havent use camera figure use love feature use facebook mostly email also play game facebook,5.0
22458,"Alexa is fun, a bit biased to amazon product. Example: when I scream at her to play a song she will play it from amazon music and not my Spotify unless I instruct her to. Which isn't terrible, but just a heads up. She is way quicker than your phone for finding answers to things, but the algorithm to get exactly what you're looking for is still being worked on. So don't expect her to always find the right answer. She's still a great product and fun.",alexa fun bit bias amazon product example scream play song play amazon music spotify unless instruct isnt terrible head way quicker phone find answer thing algorithm get exactly youre look still work dont expect always find right answer shes still great product fun,5.0
776,"Does all the basic stuff I need at a great price. I use it for some apps, web browsing and some video. Picked this over the Fire 7"" for the screen size, resolution and CPU/GPU. Battery life is pretty good. Ads aren't too annoying.Far cheaper than competing name-brand budget tablets while doing almost everything needed at this level and probably better supported. FireOS will always be a little behind the current Android version and I'd rather have Google Play than Amazon, but this still allows for side-loading stuff.Recommend if you're ok with living in Amazon's world and/or proficient enough to load other app stores or packages (or know somebody can).",basic stuff need great price use apps web browsing video picked fire 7 screen size resolution cpugpu battery life pretty good ad arent annoyingfar cheaper compete namebrand budget tablet almost everything need level probably well support fireos always little behind current android version id rather google play amazon still allows sideloading stuffrecommend youre ok living amazon world andor proficient enough load app store package know somebody,5.0
28282,"this is great, really easy to use - the playlists are fantastic",great really easy use playlist fantastic,5.0
425,"great size,sound and battery. just buy it already.",great sizesound battery buy already,5.0
34399,I especially like the integration of Netflix and the voice control.,especially like integration netflix voice control,5.0
28627,This unit will charge faster than what came with the Amazon Fire HD-8. It's worth it. I can't stand waiting for charging!,unit charge faster come amazon fire hd8 worth cant stand wait charge,5.0
18767,Super easy to read in any light! So easy to download books!,super easy read light easy download book,5.0
24408,I recently purchased 3 Echoes - for my daughters and myself then I purchased this one for my friend because she loved it so much. It is a handy resource and it's also fun! It's really a cool device.,recently purchase 3 echo daughter purchase one friend love much handy resource also fun really cool device,5.0
6494,Great product for the price. Has everything my child needed. I recommend it for starters,great product price everything child need recommend starter,5.0
22853,"Alexa can answer most questions, play music from your library, and even order items you have run out of. This ""toy"" is a lot of fun! I recommend it - I haven't had it very long but so far so good - thumbs up for Alexa!",alexa answer question play music library even order item run toy lot fun recommend havent long far good thumb alexa,5.0
5410,"I really like it, I can see the letters perfectly and it has a perfect size",really like see letter perfectly perfect size,5.0
5616,"This is a good tablet for someone who wants a starter. Nice screen, easy to use. Great graphics.",good tablet someone want starter nice screen easy use great graphic,5.0
19239,This is my second kindle purchase. I absolutely love them. It's compact and easy to use.,second kindle purchase absolutely love compact easy use,5.0
3075,"Gets use everyday by my girlfriend who i bought it for with no complaints, also love the color. Also may get one for myself.",get use everyday girlfriend bought complaint also love color also may get one,5.0
26490,good sound quality and understand what you are asking without repeating yourself,good sound quality understand ask without repeat,5.0
23675,family member has one and has it connected to all things in the house and i loved it,family member one connect thing house love,5.0
32588,Firestick was laggy so i upgraded to the fire tv. Smooth and better then the firestick. Should have bought the fire stick instead of the firetv.,firestick laggy upgraded fire tv smooth well firestick bought fire stick instead firetv,5.0
22279,Love this speaker it sounds great and love controlling it without having to touch it,love speaker sound great love control without touch,5.0
2870,"Even when I’m outside in bright sunlight, the words of the book I’m reading are still crystal clear. That alone makes the Kindle Oasis worth what it cost me.The Kindle Oasis wakes up in just seconds, and any book I choose instantly opens, ready to be read.It is the perfect size and isn’t heavy or bulky. I really do read for hours at a time. Sometimes I pace the floor while I read. Sometimes I’m on my elliptical machine when I read. And sometimes I’m sitting down. No matter what I’m doing, the Kindle Oasis remains comfortable to hold, and it is always easy on my eyes.When I receive a book that is in PDF, most of the time I can enlarge the words. If it won’t allow me to enlarge the words, I can change the orientation of the page and the words are automatically larger. I am able to make notes on the book if needed, and I can highlight words and/or passages.My merlot leather cover is attractive. When I flip it open, it is just like opening the cover of a book.How to Make the Battery LastOn the Kindle Oasis page, it says that its “dual-battery charging system delivers months of battery life.” This was a huge thing for me. Instead of having to charge my tablet almost every day, I would be able to read for months without charging the Kindle!Is this how my Oasis has performed? Well, not so much. There are conditions that have to be met for the charge on your Oasis to last for two months.First, you have to limit your reading to thirty minutes a day. That one is impossible for me. There are days that I am only able to read for thirty minutes, but they don’t occur very often. My Kindle goes everywhere with me, and I use just about every spare moment to read.Second, the wireless needs to be turned off. That one is easy to do but not always easy to remember. The only time the wireless needs to be on is to download one or more books.Third, this is based on your light setting at 10. That is way too low for me. I keep my light setting anywhere from 16 to 18.I don’t limit my reading to thirty minutes a day, and I try to remember to keep my wireless turned off. My light setting is kept anywhere from 16 to 18, and I put my Kindle to sleep the second I’m done reading. So how long does a single charge last me? Ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if I had remembered to turn my wireless off. Once I succeed in keeping my wireless off, I will let you know how long the charge lasts.Now, I don’t plug it in to charge as soon as the charge on the cover gets low. I allow my cover charge to go as low as it will possibly go and then the Kindle battery will start to drain since it can no longer charge from the cover. I allow it to drain down to about 50% before I plug the cover and Kindle into my computer to charge.The one thing that surprised me was that everything on the Oasis is in black and white. For some reason, I thought that maybe the book covers would appear in color. But since I bought the Oasis to read books on, color isn’t needed.Special offers do appear on my screen but only when my Kindle is going to sleep or waking up. They aren’t a distraction, and to be honest, they are kind of fun to look at. You can pay a higher price so they won’t appear on your Kindle if you would rather not see them.I asked myself some questions once I had my Kindle and knew just how it worked. If I had known before I bought my Kindle Oasis that the charge wouldn’t last for months, would I still have bought it? Yes, I would have. If I had known that everything would appear in black and white, would I still have bought it? Yes, I would have.",even im outside bright sunlight word book im reading still crystal clear alone make kindle oasis worth cost methe kindle oasis wake second book choose instantly open ready readit perfect size isnt heavy bulky really read hour time sometimes pace floor read sometimes im elliptical machine read sometimes im sit matter im kindle oasis remains comfortable hold always easy eyeswhen receive book pdf time enlarge word wont allow enlarge word change orientation page word automatically large able make note book need highlight word andor passagesmy merlot leather cover attractive flip open like opening cover bookhow make battery laston kindle oasis page say dualbattery charge system delivers month battery life huge thing instead charge tablet almost every day would able read month without charge kindleis oasis perform well much condition met charge oasis last two monthsfirst limit reading thirty minute day one impossible day able read thirty minute dont occur often kindle go everywhere use every spare moment readsecond wireless need turn one easy always easy remember time wireless need download one booksthird base light set 10 way low keep light set anywhere 16 18i dont limit reading thirty minute day try remember keep wireless turn light set kept anywhere 16 18 put kindle sleep second im do reading long single charge last ten day long charge last far would kept charge several day remember turn wireless succeed keep wireless let know long charge lastsnow dont plug charge soon charge cover get low allow cover charge go low possibly go kindle battery start drain since longer charge cover allow drain 50 plug cover kindle computer chargethe one thing surprised everything oasis black white reason thought maybe book cover would appear color since bought oasis read book color isnt neededspecial offer appear screen kindle go sleep wake arent distraction honest kind fun look pay high price wont appear kindle would rather see themi ask question kindle knew work know bought kindle oasis charge wouldnt last month would still bought yes would know everything would appear black white would still bought yes would,5.0
15166,Great product for the price I paid. Highly recommended.,great product price paid highly recommend,5.0
7550,"I bought 3, better than we ever dreamed for money spent",bought 3 well ever dream money spent,5.0
7991,"What a great tablet. I purchased this Amazon fire tablet for my niece for Christmas I love the colors that are available, the price was excellent. Very happy with my purchase definitely would recommend to anyone looking for a low price tablet.",great tablet purchase amazon fire tablet niece christmas love color available price excellent happy purchase definitely would recommend anyone look low price tablet,5.0
22536,"Alexa can do everything from playing music, turning on lights to regulating your thermostat",alexa everything play music turn light regulate thermostat,5.0
19037,"The most benefit of the kindle is it just could read, hence, i often use it and put my phone away. the white one is so beautiful!",benefit kindle could read hence often use put phone away white one beautiful,5.0
15866,My son loves his tablet! It's easy for him to use and he enjoys all the games that come with it. No problem with the storage or speed of apps. I previously bought him the Samsung tablet and when that broke it was difficult to get it fixed. I like that Amazon gives you a two year warranty.,son love tablet easy use enjoys game come problem storage speed apps previously bought samsung tablet broke difficult get fix like amazon give two year warranty,5.0
22142,"I've always been a fan of gadgets,and I had to have it.I had read some of the reviews that were quite favorable, but I had to find out for myself.I absolutely love it. The sound is rich and room filling. In fact, the sound in bigger than its very discreet size.",ive always fan gadgetsand iti read review quite favorable find myselfi absolutely love sound rich room fill fact sound big discreet size,5.0
18406,Great product! Easy on the eyes in the day or night.,great product easy eye day night,5.0
33890,"I love this device. User friendly, excellent performance. Way faster than stick version. And not limited like the Apple. I enjoy it!",love device user friendly excellent performance way faster stick version limited like apple enjoy,5.0
18510,"The Paperwhite is great upgrade from my old reader. Easy to read, easy to carry (important cause I travel a lot). Definitely worth the price.",paperwhite great upgrade old reader easy read easy carry important cause travel lot definitely worth price,5.0
20445,Got for my wife for Christmas. She loves it! Would recommend to others wanting the experience in a smaller device.,get wife christmas love would recommend others want experience small device,5.0
13301,Bought for my son as a bridge between phone and computer. Fits in perfect,bought son bridge phone computer fit perfect,5.0
8030,My kids adore their tablets! Best purchase ever!!!,kid adore tablet best purchase ever,5.0
24161,Easy to setup. Bought Amazon Echo for the living room and Amazon Dot for the bedroom. Fantastic AI.,easy setup bought amazon echo living room amazon dot bedroom fantastic ai,5.0
24718,I bought the echo after reading about it and we love it. It was very easy to set up with our wireless network and everyone one in the house uses it to learn all types of information along with listening to songs.,bought echo reading love easy set wireless network everyone one house us learn type information along listen song,5.0
15640,Love my first tablet and I have recommend this to my Mom. She bought one too!! Not as heavy as some other models. Perfect for playing games on and watching movies. In love...,love first tablet recommend mom bought one heavy model perfect play game watch movie love,5.0
29586,"I recently got rid of cable and WiFi at home as it all just became way too expensive. I wanted something that would run off of my hotspot on my phone as I have an unlimited plan. It connects to it as soon as I have it on, there is no lagging, doesn't take long to load any of my streaming services either. It is very easy to navigate through the menu and do everything. Steup was a breeze, I love the voice feature (definitely comes in handy).",recently get rid cable wifi home become way expensive want something would run hotspot phone unlimited plan connects soon lag doesnt take long load stream service either easy navigate menu everything steup breeze love voice feature definitely come handy,5.0
22862,"Love it and it's accessible for the blind. Music, weather, jokes, sound effects, reads me books, she does it all.",love accessible blind music weather joke sound effect read book,5.0
1548,Reasonably priced and great for the grandkids. We purchased cheaper tablets for them last year and none of them lasted! So far these are looking 100% better.,reasonably price great grandkids purchase cheaper tablet last year none last far look 100 well,5.0
16870,"My kids love this tablet. There are over hundreds of games, books, and shows to pick from",kid love tablet hundred game book show pick,5.0
12581,Its a quick fast little tablet. Can do a lot of stuff a normal tablet does.,quick fast little tablet lot stuff normal tablet,5.0
14044,"Excellent just 50$ , and has all the features and a vast collection of books",excellent 50 feature vast collection book,5.0
26497,It's like talking to siri but getting an answer. Real easy to set up and much better with amazon prime.,like talk siri get answer real easy set much well amazon prime,5.0
2762,Great Fire tablet! Speedy service and experience! Bravo!,great fire tablet speedy service experience bravo,5.0
12785,Just bought as a travel companion. Something to watch movies and play games on. So far it has been great. The picture is great. It's really clear.,bought travel companion something watch movie play game far great picture great really clear,5.0
2034,"I bought this as a Christmas gift for my 8 year old. I was a big hit. I love the 8"" screen. The price was perfect for my budget.",bought christmas gift 8 year old big hit love 8 screen price perfect budget,5.0
6027,"Apples & oranges. They're both fruit, both tasty, but they are different at the same time.When thinking about the new $50 7"" Fire tablet, keep in mind that this is not a high-end Samsung or iPad Mini. It does a lot of the same things, but it's different. It costs a fraction of the cost. With that perspective in mind, this is a fantastic value. In fact, short of finding a nice, 2nd-tier Asus , LG, or Lenovo tablet being pushed on discount sites, probably as refurbs, you're not going to find anything that comes close in value to this new Fire tablet.Prior to getting it, I had my concerns, particularly with the screen given the lower resolution. I have a dozen tablets, and have tried about a dozen others, and screen quality is not something you want to scrimp too much on. Amazon got this right. It is not as crisp as my older Kindle Fire HD 7"" or my Galaxy Note 8.0 or my iPad Mini, but for casual reading, gaming, video viewing, email, etc., the screen is just fine. Worlds beyond most low-end/budget tablets I've tried (especially anything costing under $100 new). My daughter, who has been using a Kindle Fire HD 7"", has not cared one bit about the slightly lower screen resolution.The new Fire OS operating system looks & feels much more like Android or iOS, which is nice overall. It still is not perfect, but overall I think it makes for a much better user experience than the version on older Kindle Fire tablets.The 8GB of internal storage is, of course, paltry, but with the very welcome addition of a microSD slot, carrying loads of media with you for offline consumption is not an issue. What remains to be seen is how performance is impacted if/when the little bit of available internal storage gets filled with apps and other content. So far, this has not been a problem.The inclusion of both front- and rear-facing cameras is a nice bonus. No, you're not going to capture great shots. But both cameras are usable and add value.The speakers are OK. Volume and quality is not great, but is acceptable for general use - and, of course, you can also use headphones or an external speaker to kick things up a notch (or several notches).If you have $150 or more to spend on a tablet, and plan on using it quite a bit, then you can definitely find something a bit nicer. If you're getting this for just occasional use, or for a kid, and are not accustomed to using a high-end tablet, then this is a fantastic buy. I've tested over 20 tablets and for a sub-$100 tablet, this is absolutely a great value. At its current price of $50, it's a no-brainer. Kudos to Amazon for raising the bar on budget tablets AND making quality tablets available to the masses.",apple orange theyre fruit tasty different timewhen think new 50 7 fire tablet keep mind highend samsung ipad mini lot thing different cost fraction cost perspective mind fantastic value fact short find nice 2ndtier asus lg lenovo tablet push discount site probably refurbs youre go find anything come close value new fire tabletprior get concern particularly screen give low resolution dozen tablet try dozen others screen quality something want scrimp much amazon get right crisp old kindle fire hd 7 galaxy note 80 ipad mini casual reading game video view email etc screen fine world beyond lowendbudget tablet ive try especially anything cost 100 new daughter use kindle fire hd 7 care one bit slightly low screen resolutionthe new fire o operating system look feel much like android io nice overall still perfect overall think make much well user experience version old kindle fire tabletsthe 8gb internal storage course paltry welcome addition microsd slot carry load medium offline consumption issue remains see performance impact ifwhen little bit available internal storage get fill apps content far problemthe inclusion front rearfacing camera nice bonus youre go capture great shot camera usable add valuethe speaker ok volume quality great acceptable general use course also use headphone external speaker kick thing notch several notchesif 150 spend tablet plan use quite bit definitely find something bit nicer youre get occasional use kid accustom use highend tablet fantastic buy ive test 20 tablet sub100 tablet absolutely great value current price 50 nobrainer kudos amazon raise bar budget tablet make quality tablet available mass,5.0
15581,I bought this tablet as a 13th birthday present for my niece. She loves it and takes it everywhere. She reads books and watches Netflix just to name a few things you can do with this tablet.,bought tablet 13th birthday present niece love take everywhere read book watch netflix name thing tablet,5.0
6043,"For $50 I couldn't ask for more! Aside from access to a ridiculous amount of books, I can listen to music, download apps, play games, watch videos, take photos/ record videos (front & rear facing camera), check emails, and surf the web. Although you have to pay for most book/video purchases Amazon also offers Amazon Prime for a month free ($9.99 after) which makes some purchases less expensive. You can also tack on Kindle Unlimited (free 1st month, also $9.99 a month after) to download up to 10 Kindle Unlimited books at a time. As for the possible cons, the lock screen is set as a rotation of sponsored ads (which is why this tablet is so cheap!). If this bothers you, you can remove the ads for $15 on Amazon. The screen/camera resolution and speaker output isn't anything to write home about but it is absolutely great for the price! The glare while using the tablet can also be bothersome, but I purchased an anti-glare screen protector to resolve that issue. With the holidays approaching this is the perfect gift for those on a budget! This would have been the perfect gift for me, had I not already purchased it for myself!",50 couldnt ask aside access ridiculous amount book listen music download apps play game watch video take photo record video front rear face camera check email surf web although pay bookvideo purchase amazon also offer amazon prime month free 999 make purchase less expensive also tack kindle unlimited free 1st month also 999 month download 10 kindle unlimited book time possible con lock screen set rotation sponsor ad tablet cheap bother remove ad 15 amazon screencamera resolution speaker output isnt anything write home absolutely great price glare use tablet also bothersome purchase antiglare screen protector resolve issue holiday approach perfect gift budget would perfect gift already purchase,5.0
7925,"I love this tablet more than my Ipad! I bought this item for both my son's, ages 7 &8, they love them! They are inexpensive and very easy to use also easy to set parental controls. They play all thier favorite apps and games watch movies... for free. I wish there were more options or variety on protective cases. Otherwise, it's an awesome product for any age!",love tablet ipad bought item son age 7 8 love inexpensive easy use also easy set parental control play thier favorite apps game watch movie free wish option variety protective case otherwise awesome product age,5.0
16726,Purchased for a 5 year old. Perfect for kids and as a first tablet.,purchase 5 year old perfect kid first tablet,5.0
31736,Faster than my firestick in navagating around and doesn't freeze as much.,faster firestick navagating around doesnt freeze much,5.0
1894,"Bought this as a replacement for the 7"", faster and better display.... Best upgrade",bought replacement 7 faster well display best upgrade,5.0
17470,Small enough to fit into a small bag. Wonderful to use to pass the time when waiting for transportations and appointments and the paperwhite can be used in low level lighting. It is easy to use.,small enough fit small bag wonderful use pas time wait transportation appointment paperwhite use low level light easy use,5.0
13894,We bought the tablets for our kiddos for a great price on a Black Friday deal! Our kiddos love it and it's perfect for their school programs!,bought tablet kiddos great price black friday deal kiddos love perfect school program,5.0
1793,Was told by sales person I could come back in a week with receipt to get $30 off (Black Friday price). Customer service lady said they don't do that. I was misled. Item itself is okay.,told sale person could come back week receipt get 30 black friday price customer service lady say dont mislead item okay,5.0
28075,I bought 2 of the Echos and gave one to my wife. She really loves the Echo because the music.,bought 2 echo give one wife really love echo music,5.0
5081,This fire tablet has handled all of the facebook games I play without skipping or tieing up.I'm very impressed.,fire tablet handle facebook game play without skip tie upim impressed,5.0
30986,This amazon fire tv was a great gift. many movies at your finger tips,amazon fire tv great gift many movie finger tip,5.0
11085,This is one sweet little tablet for taking along with you wherever you.go. It is everything you need in an ereader. The color and resolution on a $50 tablet is impressive. My mother is able to use it without problem and she loves the portability.,one sweet little tablet take along wherever yougo everything need ereader color resolution 50 tablet impressive mother able use without problem love portability,5.0
19867,"I just love my paperwhite! The size is small enough to fit in my purse and pull out whenever I have the time. The charge lasts forever, so I'm not always looking to plug in. I love that I can sit outside and read, or in bed at night, without light on to disturb husband. I belong to a book club, so it's nice to be able to add notes when I want to and to have the dictionary right there if needed. I can hook right onto Amazon, Goodreads or borrow from the library while sitting in bed. This is my first Kindle, so I don't have stuff to compare it to - but I sure love this one.",love paperwhite size small enough fit purse pull whenever time charge last forever im always look plug love sit outside read bed night without light disturb husband belong book club nice able add note want dictionary right need hook right onto amazon goodreads borrow library sit bed first kindle dont stuff compare sure love one,5.0
31243,This is terrific. What a joy. Easy to install. Easy to use.,terrific joy easy install easy use,5.0
24397,Love love love it!!! Best purchase ever!!! Love listening to music and sound is great!!!,love love love best purchase ever love listen music sound great,5.0
31082,I've always been a Roku user but when Directv Now came out recently and wasn't available on Roku but was on Fire TV I gave it a try. I've been very happy with it and have switched all my Roku's out with Fire TV's.,ive always roku user directv come recently wasnt available roku fire tv give try ive happy switch rokus fire tv,5.0
30907,The device has provided our family with numerous hours of TV watching without the high monthly costs of cable,device provide family numerous hour tv watch without high monthly cost cable,5.0
1625,Perfect price for the tablet and recommend for kids who don't take care of electronics. Purchased a I-Pad and the kids broke it and was out $600.00. If they break the tablet I can purchase another on at the low cost at Best Buy.,perfect price tablet recommend kid dont take care electronics purchase ipad kid broke 60000 break tablet purchase another low cost best buy,5.0
9619,Bought it for my son as a replacement for his damaged tablet. What a great deal this is. I reccomend it fully.,bought son replacement damage tablet great deal reccomend fully,5.0
9015,This tablet was purchased as a Christmas gift and our nephew absolutely loves it.,tablet purchase christmas gift nephew absolutely love,5.0
6072,We bought this for our 7 year old daughter and it is perfect!!,bought 7 year old daughter perfect,5.0
24597,My best purchase to date. This product is awesome.,best purchase date product awesome,5.0
20231,Awesome reader. Great light control to read in bed at night within waking your Partner.,awesome reader great light control read bed night within wake partner,5.0
1040,"I am an avid Amazon user for shopping and tablets, I bought a different model for my younger brother and now purchased this one for my grandparents and they love it!",avid amazon user shopping tablet bought different model young brother purchase one grandparent love,5.0
17662,knowledgeable- courtesy- out of way helpful-professional,knowledgeable courtesy way helpfulprofessional,5.0
20344,This product is very light and convenient. i often use it in the evening.,product light convenient often use even,5.0
19730,Bought this for my daughter-in-law she was getting headaches from her last e reader. She loves the light on this paper white.,bought daughterinlaw get headache last e reader love light paper white,5.0
33423,This is much faster then the firestick.will work with amazon echo. Voice remote works great!!,much faster firestickwill work amazon echo voice remote work great,5.0
13608,I bought this for my granddaughter and she loves it. She watches Netflix and YouTube everyday and has had no issues. I would recommend this product to anyone.,bought granddaughter love watch netflix youtube everyday issue would recommend product anyone,5.0
28918,I would be happy to give it as Christmas gifts to many of the people I know. I love the size of the screen. A charge last and the Bluetooth sinks well with the wireless keyboard. It's almost as good as I IPad.,would happy give christmas gift many people know love size screen charge last bluetooth sink well wireless keyboard almost good ipad,5.0
32615,I absolutely love my Amazon box. It's user friendly and affordable. I already have recommended this item to several people.,absolutely love amazon box user friendly affordable already recommend item several people,5.0
34136,"Works great with my free amazon media. Movies,music, and Aps. are great.",work great free amazon medium moviesmusic aps great,5.0
22605,"I like this product, still getting to learn how to use it.",like product still get learn use,5.0
7748,"My grandkids wanted this for obvious reasons and when I saw it go on sale on BB, I jumped at the chance and bought it. The kids love it.",grandkids want obvious reason saw go sale bb jumped chance bought kid love,5.0
12396,For the price you can not buy anything better! It's great! It's easy! And I would by more any day!,price buy anything well great easy would day,5.0
1326,Best tablet money can buy for under 100$. Very happy with its performance and responsiveness. External speaker is much better on this than my more expensive samsung tab E tablet.,best tablet money buy 100 happy performance responsiveness external speaker much well expensive samsung tab e tablet,5.0
23855,"Alexa is great to have around! Especially if you have Amazon Prime... literally the music will go ALL day until you ask her to stop! Best Buy had an incredible price on her. The echo does a variety of things besides play music. If you are into gadgets, this will not disappoint you!",alexa great around especially amazon prime literally music go day ask stop best buy incredible price echo variety thing besides play music gadget disappoint,5.0
24809,I love the amazon echo! It has always worked flawlessly for us.,love amazon echo always work flawlessly u,5.0
